,Parameter,,,,,,C2_0,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_9,C2_10,C2_11,C2_12,C2_13,C2_14,C2_15,C2_16,C2_17,C2_18,C2_19,C2_20,C2_21,C2_22,C2_23,C2_24,C2_25,C2_26,C2_27,C2_28,C2_29,C2_30,C2_31,C2_32,C2_33,C2_34,C2_35
,Vinput,,,,,,3.135,3.135,3.135,3.135,3.3,3.3,3.3,3.3,3.465,3.465,3.465,3.465,3.135,3.135,3.135,3.135,3.3,3.3,3.3,3.3,3.465,3.465,3.465,3.465,3.135,3.135,3.135,3.135,3.3,3.3,3.3,3.3,3.465,3.465,3.465,3.465
,rload,,,,,,2,3.6,36,360,2,3.6,36,360,2,3.6,36,360,2,3.6,36,360,2,3.6,36,360,2,3.6,36,360,2,3.6,36,360,2,3.6,36,360,2,3.6,36,360
,toplevel_all.scs,,,,,,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss

Test,Output,Spec,Weight,Pass/Fail,Min,Max,C2_0,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_9,C2_10,C2_11,C2_12,C2_13,C2_14,C2_15,C2_16,C2_17,C2_18,C2_19,C2_20,C2_21,C2_22,C2_23,C2_24,C2_25,C2_26,C2_27,C2_28,C2_29,C2_30,C2_31,C2_32,C2_33,C2_34,C2_35
workspace40_wjl:toptest:1,higher,,,,-74.76e-3,449e-3,83.79e-3,86.17e-3,90.86e-3,92.77e-3,100.5e-3,103e-3,107.7e-3,109.6e-3,124.9e-3,127.3e-3,132.1e-3,134.1e-3,-74.76e-3,-72.91e-3,-69.4e-3,-68.02e-3,-64e-3,-62.14e-3,-58.57e-3,-57.17e-3,-49.66e-3,-47.77e-3,-44.15e-3,-42.7e-3,361.7e-3,365e-3,371.3e-3,374e-3,389.5e-3,392.8e-3,399.2e-3,401.9e-3,436.5e-3,439.8e-3,446.3e-3,449e-3
workspace40_wjl:toptest:1,lower,,,,-31.8e-3,374.6e-3,128.1e-3,125.1e-3,118.7e-3,115.9e-3,93.32e-3,90.04e-3,83.27e-3,80.03e-3,64.63e-3,63.13e-3,60.33e-3,59.32e-3,374.6e-3,371.9e-3,366.2e-3,363.8e-3,335.8e-3,332.6e-3,326e-3,322.6e-3,305.8e-3,302.6e-3,295.9e-3,292.6e-3,16.01e-3,13.95e-3,10.08e-3,8.683e-3,1.791e-3,-274.1e-6,-4.147e-3,-5.542e-3,-24.46e-3,-26.53e-3,-30.4e-3,-31.8e-3
