,Parameter,,,,,,C2_0,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_9,C2_10,C2_11,C2_12,C2_13,C2_14,C2_15,C2_16,C2_17,C2_18,C2_19,C2_20,C2_21,C2_22,C2_23,C2_24,C2_25,C2_26,C2_27,C2_28,C2_29,C2_30,C2_31,C2_32,C2_33,C2_34,C2_35
,Vinput,,,,,,3.135,3.135,3.135,3.135,3.3,3.3,3.3,3.3,3.465,3.465,3.465,3.465,3.135,3.135,3.135,3.135,3.3,3.3,3.3,3.3,3.465,3.465,3.465,3.465,3.135,3.135,3.135,3.135,3.3,3.3,3.3,3.3,3.465,3.465,3.465,3.465
,rload,,,,,,2.67,4.8,48,480,2.67,4.8,48,480,2.67,4.8,48,480,2.67,4.8,48,480,2.67,4.8,48,480,2.67,4.8,48,480,2.67,4.8,48,480,2.67,4.8,48,480,2.67,4.8,48,480
,toplevel_all.scs,,,,,,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss

Test,Output,Spec,Weight,Pass/Fail,Min,Max,C2_0,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_9,C2_10,C2_11,C2_12,C2_13,C2_14,C2_15,C2_16,C2_17,C2_18,C2_19,C2_20,C2_21,C2_22,C2_23,C2_24,C2_25,C2_26,C2_27,C2_28,C2_29,C2_30,C2_31,C2_32,C2_33,C2_34,C2_35
workspace40_wjl:toptest:1,higher,,,,-60.47e-3,458.6e-3,95.09e-3,98.42e-3,103.3e-3,105.2e-3,111.8e-3,115.2e-3,120.1e-3,122.1e-3,136.1e-3,139.6e-3,144.5e-3,146.5e-3,-60.47e-3,-58.14e-3,-54.53e-3,-53.15e-3,-49.72e-3,-47.35e-3,-43.69e-3,-42.27e-3,-35.38e-3,-32.97e-3,-29.24e-3,-27.78e-3,369.3e-3,374.2e-3,380.9e-3,383.6e-3,397.1e-3,402.1e-3,408.8e-3,411.5e-3,444e-3,449e-3,455.9e-3,458.6e-3
workspace40_wjl:toptest:1,lower,,,,-40.51e-3,361e-3,117.7e-3,112.9e-3,106.2e-3,103.4e-3,83.15e-3,77.94e-3,70.78e-3,67.53e-3,53.22e-3,51.43e-3,48.58e-3,47.56e-3,361e-3,357.1e-3,351.1e-3,348.6e-3,322.6e-3,317.8e-3,310.9e-3,307.5e-3,292.7e-3,287.8e-3,280.8e-3,277.5e-3,7.847e-3,5.344e-3,1.378e-3,-24.47e-6,-6.377e-3,-8.881e-3,-12.85e-3,-14.25e-3,-32.63e-3,-35.14e-3,-39.1e-3,-40.51e-3
