,Parameter,,,,,,C2_0,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_9,C2_10,C2_11,C2_12,C2_13,C2_14,C2_15,C2_16,C2_17,C2_18,C2_19,C2_20,C2_21,C2_22,C2_23,C2_24,C2_25,C2_26,C2_27,C2_28,C2_29,C2_30,C2_31,C2_32,C2_33,C2_34,C2_35
,Vinput,,,,,,3.135,3.135,3.135,3.135,3.3,3.3,3.3,3.3,3.465,3.465,3.465,3.465,3.135,3.135,3.135,3.135,3.3,3.3,3.3,3.3,3.465,3.465,3.465,3.465,3.135,3.135,3.135,3.135,3.3,3.3,3.3,3.3,3.465,3.465,3.465,3.465
,rload,,,,,,1.56,2.8,28,280,1.56,2.8,28,280,1.56,2.8,28,280,1.56,2.8,28,280,1.56,2.8,28,280,1.56,2.8,28,280,1.56,2.8,28,280,1.56,2.8,28,280,1.56,2.8,28,280
,toplevel_all.scs,,,,,,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss

Test,Output,Spec,Weight,Pass/Fail,Min,Max,C2_0,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_9,C2_10,C2_11,C2_12,C2_13,C2_14,C2_15,C2_16,C2_17,C2_18,C2_19,C2_20,C2_21,C2_22,C2_23,C2_24,C2_25,C2_26,C2_27,C2_28,C2_29,C2_30,C2_31,C2_32,C2_33,C2_34,C2_35
workspace40_wjl:toptest:1,higher,,,,-80.99e-3,448.8e-3,80.4e-3,82.72e-3,87.37e-3,89.27e-3,97.12e-3,99.48e-3,104.2e-3,106.1e-3,121.4e-3,123.8e-3,128.6e-3,130.5e-3,-80.99e-3,-79.19e-3,-75.69e-3,-74.31e-3,-70.25e-3,-68.42e-3,-64.88e-3,-63.48e-3,-55.92e-3,-54.07e-3,-50.48e-3,-49.04e-3,361.7e-3,364.8e-3,371.1e-3,373.8e-3,389.5e-3,392.6e-3,399e-3,401.7e-3,436.4e-3,439.6e-3,446.1e-3,448.8e-3
workspace40_wjl:toptest:1,lower,,,,-32.55e-3,381.1e-3,131.5e-3,128.6e-3,122.3e-3,119.5e-3,96.75e-3,93.6e-3,86.87e-3,83.63e-3,67.33e-3,65.85e-3,63.08e-3,62.07e-3,381.1e-3,378.5e-3,372.8e-3,370.4e-3,342.2e-3,339.2e-3,332.6e-3,329.2e-3,312.2e-3,309.2e-3,302.6e-3,299.2e-3,15.19e-3,13.17e-3,9.325e-3,7.933e-3,970.8e-6,-1.051e-3,-4.899e-3,-6.292e-3,-25.28e-3,-27.31e-3,-31.16e-3,-32.55e-3
