,Parameter,,,,,,C2_0,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_9,C2_10,C2_11,C2_12,C2_13,C2_14,C2_15,C2_16,C2_17,C2_18,C2_19,C2_20,C2_21,C2_22,C2_23,C2_24,C2_25,C2_26,C2_27,C2_28,C2_29,C2_30,C2_31,C2_32,C2_33,C2_34,C2_35
,Vinput,,,,,,3.135,3.135,3.135,3.135,3.3,3.3,3.3,3.3,3.465,3.465,3.465,3.465,3.135,3.135,3.135,3.135,3.3,3.3,3.3,3.3,3.465,3.465,3.465,3.465,3.135,3.135,3.135,3.135,3.3,3.3,3.3,3.3,3.465,3.465,3.465,3.465
,rload,,,,,,1.56,2.8,28,280,1.56,2.8,28,280,1.56,2.8,28,280,1.56,2.8,28,280,1.56,2.8,28,280,1.56,2.8,28,280,1.56,2.8,28,280,1.56,2.8,28,280,1.56,2.8,28,280
,toplevel_all.scs,,,,,,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_tt,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ff,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss,top_ss

Test,Output,Spec,Weight,Pass/Fail,Min,Max,C2_0,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_9,C2_10,C2_11,C2_12,C2_13,C2_14,C2_15,C2_16,C2_17,C2_18,C2_19,C2_20,C2_21,C2_22,C2_23,C2_24,C2_25,C2_26,C2_27,C2_28,C2_29,C2_30,C2_31,C2_32,C2_33,C2_34,C2_35
workspace40_wjl:toptest:1,Iqmax,,,,15.52e-6,23.31e-6,18.54e-6,18.34e-6,18.11e-6,18.06e-6,18.75e-6,18.55e-6,18.33e-6,18.27e-6,19.04e-6,18.84e-6,18.62e-6,18.56e-6,22.46e-6,22.24e-6,21.99e-6,21.92e-6,22.83e-6,22.62e-6,22.37e-6,22.28e-6,23.31e-6,23.09e-6,22.84e-6,22.76e-6,15.96e-6,15.77e-6,15.56e-6,15.52e-6,16.07e-6,15.88e-6,15.68e-6,15.63e-6,16.24e-6,16.05e-6,15.85e-6,15.81e-6
